index,Total_Stops,Journey_day,Journey_month,Dep_hour,Dep_min,Duration_hour,Duration_min,Air Asia,Air India,GoAir,IndiGo,Jet Airways,Multiple carriers,Multiple carriers Premium economy,SpiceJet,Vistara,Vistara Premium economy,source_Banglore,source_Chennai,source_Delhi,source_Kolkata,source_Mumbai,destination_Banglore,destination_Cochin,destination_Delhi,destination_Hyderabad,destination_Kolkata,destination_New Delhi
0,1,6,6,17,30,10,55,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
1,1,12,5,6,20,4,0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
2,1,21,5,19,15,23,45,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
3,1,21,5,8,0,13,0,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
4,0,24,6,23,55,2,50,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
5,1,12,6,18,15,18,20,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
6,1,12,3,7,30,15,5,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
7,1,1,5,15,15,5,15,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
8,0,15,3,10,10,2,45,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
9,1,18,5,16,30,6,5,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
10,2,21,3,13,55,28,55,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
11,1,15,6,6,50,9,20,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
12,1,15,5,9,0,10,15,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
13,1,12,3,5,45,4,40,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
14,1,3,6,19,15,17,20,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
15,1,6,3,21,25,10,50,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
16,1,6,6,13,15,9,15,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
17,1,24,3,9,55,12,15,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False
18,1,12,6,19,15,9,10,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
19,1,12,3,22,55,9,20,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
20,1,6,3,10,45,14,50,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
21,1,9,5,20,0,14,5,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
22,1,18,3,21,25,11,35,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
23,2,9,5,5,30,13,30,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
24,0,6,4,21,5,2,50,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
25,1,21,3,16,0,12,25,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
26,0,15,5,15,15,2,30,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
27,1,21,5,17,30,25,30,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
28,1,6,6,9,0,19,25,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
29,1,1,6,14,0,7,0,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
30,0,3,3,22,50,2,30,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
31,1,27,3,13,55,11,40,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
32,2,15,6,5,30,7,5,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
33,0,12,6,19,50,3,0,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
34,0,15,3,7,10,1,25,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
35,0,15,6,5,55,2,40,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False
36,0,18,3,7,10,1,25,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
37,1,6,3,16,55,6,5,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
38,1,9,5,18,55,17,5,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
39,1,15,5,10,20,10,40,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
40,0,12,5,17,10,2,30,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False
41,1,15,5,13,0,12,30,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
42,0,9,6,22,45,1,30,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False
43,1,15,6,8,0,23,40,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
44,1,1,5,21,0,5,15,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
45,0,24,3,17,45,2,20,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False
46,1,3,3,19,15,23,35,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
47,0,3,5,13,55,1,30,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
48,1,1,4,18,55,27,40,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
49,1,3,6,7,30,13,30,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
50,2,12,5,9,25,28,20,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
51,1,1,4,14,5,5,45,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
52,1,24,3,13,55,26,25,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
53,1,18,3,5,45,5,40,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
54,0,18,6,9,45,2,15,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False
55,0,15,4,15,15,2,55,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
56,1,18,5,2,0,5,45,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
